0.00002:data.4001:[-0.10002 -0.10002 0.10002 10.10002]:1.79993:10.20004:[0.7071 0.7071 -0.7071 0.7071 0 0]
0.00003:data.4002:[-0.10002 -0.10002 2.60002 2.60002]:2.70004:2.70004:[0.7071 0.7071 -0.7071 0.7071 0 0]
0.00005:data.4003:[1.74997 0.75006 8.25003 7.24997]:6.50006:6.49991:[1 0 0 1 0 0]
0.00006:data.4004:[0.60097 1.78589 16.65948 16.65948]:16.05852:14.8736:[1 0 0 1 0 0]
0.00008:data.4005:[-5.25 -1.91702 10.25 3.25003]:10:6.00006:[1 0 0 1 0 0]
0.00009:data.4006:[-3.75006 -2.27075 7.25012 4.24994]:10:8.00003:[1 0 0 1 0 0]
0.0001:data.4007:[0 0 10 10]:10:10:[1 0 0 1 0 0]
0.00012:data.4008:[-0.10002 -0.10002 0.10002 10.10002]:1.79993:10.20004:[0 1 -1 0 0 0]
0.00014:data.4009:[-0.10002 -0.10002 2.60002 2.60002]:2.70004:2.70004:[1 0 0 1 0 0]
0.00015:data.4010:[-0.61803 -0.79361 24.72183 24.6863]:26.00006:26.00006:[1 0 0 1 0 0]
0.00017:data.4011:[-1.71477 -1.48386 49.55226 49.5276]:51.00006:51.00006:[1 0 0 1 0 0]
0.00018:data.4012:[-4.74997 -1.74994 6.24991 4.24994]:8.99994:5:[1 0 0 1 0 0]
