0.00002:data.4001:[-0.14003 -0.14003 0.14003 10.14003]:2.5199:10.28006:[0.7071 0.7071 -0.7071 0.7071 0 0]
0.00003:data.4002:[-0.14003 -0.14003 3.64003 3.64003]:3.78006:3.78006:[0.7071 0.7071 -0.7071 0.7071 0 0]
0.00005:data.4003:[2.44995 1.05008 11.55005 10.14996]:9.1001:9.09988:[1 0 0 1 0 0]
0.00006:data.4004:[0.84134 2.50023 23.32329 23.32329]:22.48195:20.82306:[1 0 0 1 0 0]
0.00008:data.4005:[-7.35 -2.68382 14.35 4.55005]:14:8.40009:[1 0 0 1 0 0]
0.00009:data.4006:[-5.25009 -3.17908 10.15018 5.94992]:14:11.20004:[1 0 0 1 0 0]
0.0001:data.4007:[0 0 10 10]:10:10:[1 0 0 1 0 0]
0.00012:data.4008:[-0.14003 -0.14003 0.14003 10.14003]:2.5199:10.28006:[0 1 -1 0 0 0]
0.00014:data.4009:[-0.14003 -0.14003 3.64003 3.64003]:3.78006:3.78006:[1 0 0 1 0 0]
0.00015:data.4010:[-1.05524 -0.92482 34.48808 34.77211]:36.40009:36.40009:[1 0 0 1 0 0]
0.00017:data.4011:[-2.37265 -2.58139 68.95625 69.44899]:71.40009:71.40009:[1 0 0 1 0 0]
0.00018:data.4012:[-6.64996 -2.44992 8.74988 5.94992]:12.59991:7:[1 0 0 1 0 0]
